all,AO1.L
anachronism,AH0.N.AE1.K.R.AH0.N.IH2.Z.AH0.M
administration,AE2.D.M.IH2.N.IH0.S.T.R.EY1.SH.AH0.N
amount,AH0.M.AW1.N.T
any,EH1.N.IY0
adverse,AE2.D.V.ER1.S
android,AE1.N.D.R.OY2.D
moose,M.UW1.S
again,AH0.G.EY1.N
assignment,AH0.S.AY1.N.M.AH0.N.T
arctic,AA1.R.T.IH0.K
assist,AH0.S.IH1.S.T
anesthesiology,AE2.N.AH0.S.TH.IY0.Z.IY0.AA1.L.AH0.JH.IY0
action,AE1.K.SH.AH0.N
cucumber,K.Y.UW1.K.AH0.M.B.ER0
abalone,AE2.B.AH0.L.OW1.N.IY0
advertisement,AE2.D.V.ER0.T.AY1.Z.M.AH0.N.T
aggregate,AE1.G.R.AH0.G.EY2.T
amortization,AE2.M.ER0.T.IH0.Z.EY1.SH.AH0.N
whale,HH.W.EY1.L
annunciation,AH0.N.AH1.N.S.IY0.EH2.SH.AH0.N
audit,AO1.D.IH0.T
antenna,AE2.N.T.EH1.N.AH0
abrasion,AH0.B.R.EY1.ZH.AH0.N
acknowledge,AE2.K.N.AA1.L.IH0.JH
arrival,ER0.AY1.V.AH0.L
anybody,EH1.N.IY0.B.AH0.D.IY0
a-frame,EH1.F.R.EH1.M
academic,AE2.K.AH0.D.EH1.M.IH0.K
approbation,AE2.P.R.AH0.B.EY1.SH.AH0.N
adrenaline,AH0.D.R.EH1.N.AH0.L.AH0.N
anthropomorph,AE2.N.TH.R.OW0.P.OW0.M.OW1.R.F
awning,AA1.N.IH0.NG
accessible,AE2.K.S.EH1.S.AH0.B.AH0.L
audio,AA1.D.IY0.OW0
away,AH0.W.EY1
snake,S.N.EY1.K
alfalfa,AE2.L.F.AE1.L.F.AH0
abstain,AE2.B.S.T.EY1.N
aerospace,EH1.R.OW0.S.P.EY2.S
camel,K.AE1.M.AH0.L
athletic,AE2.TH.L.EH1.T.IH0.K
accurate,AE1.K.Y.ER0.AH0.T
altruistic,AO2.L.T.R.UW0.IH1.S.T.IH0.K
actress,AE1.K.T.R.AH0.S
apprise,AH0.P.R.AY1.Z
abbreviation,AH0.B.R.IY2.V.IY0.EY1.SH.AH0.N
front,F.R.AH1.N.T
appetite,AE1.P.AH0.T.AY2.T
atomic,AH0.T.AA1.M.IH0.K
aspect,AE1.S.P.EH2.K.T
alternative,AO2.L.T.ER1.N.AH0.T.IH0.V
afro,AE1.F.R.OW0
azalea,AH0.Z.EY1.L.Y.AH0
abbreviate,AH0.B.R.IY1.V.IY0.EY2.T
alimony,AE1.L.AH0.M.OW2.N.IY0
elk,EH1.L.K
asthma,AE1.Z.M.AH0
Altima,AE1.L.T.IH0.M.AH0
also,AO1.L.S.OW0
arisal,AH0.R.AY1.Z.AH0.L
agile,AE1.JH.AH0.L
alternate,AO1.L.T.ER0.N.EY2.T
arrest,ER0.EH1.S.T
add,AE1.D
animation,AE2.N.AH0.M.EY1.SH.AH0.N
affinity,AH0.F.IH1.N.IH0.T.IY0
association,AH0.S.OW2.SH.IY0.EY1.SH.AH0.N
radish,R.AE1.D.IH0.SH
ado,AH0.D.UW1
amoxycillin,AH0.M.AA1.K.S.AH0.S.IH2.L.IH0.N
east,IY1.S.T
anti_-_communist,AE1.N.T.IY0.K.AA1.M.Y.AH0.N.IH0.S.T
anchovy,AE2.N.CH.OW1.V.IY0
analogy,AH0.N.AE1.L.AH0.JH.IY0
ample,AE1.M.P.AH0.L
articles,AA1.R.T.IH0.K.AH0.L.Z
advocate,AE1.D.V.AH0.K.EY2.T
arab,EH1.R.AH0.B
auspicious,AO0.S.P.IH1.SH.AH0.S
afore,AH0.F.OW1.R
amp,AE1.M.P
apart,AH0.P.AA1.R.T
acute,AH0.K.Y.UW1.T
axillary,AE2.K.S.AH0.L.AE1.R.IY0
fortune,F.AO1.R.CH.UW0.N
airhead,EH1.R.HH.EH2.D
expunge,IH0.K.S.P.AH1.N.JH
alice,AE1.L.IH0.S
alamo,AE1.L.AH0.M.OW0
audience,AO1.D.IY0.AH0.N.S
avatar,AE1.V.AH0.T.AA2.R
arbitrary,AA1.R.B.IH0.T.R.EH2.R.IY0
anthony,AE1.N.TH.AH0.N.IY0
awfu,AO1.F.UH0.L
antique,AE2.N.T.IY1.K
old,OW1.L.D
often,AO1.F.T.AH0.N
ashen,AE1.SH.AH0.N
ascend,AH0.S.EH1.N.D
alive,AH0.L.AY1.V
atrium,EY1.T.R.IY0.AH0.M
almonds,AA1.L.M.AH0.N.D.Z
Andy,AE1.N.D.IY0
accelerate,AE2.K.S.EH1.L.ER0.EY2.T
Alfred,AE1.L.F.R.EH0.D
apply,AH0.P.L.AY1
aspen,AE1.S.P.AH0.N
advertise,AE1.D.V.ER0.T.AY2.Z
archetype,AA1.R.K.IH0.T.AY2.P
aviation,EY2.V.IY0.EY1.SH.AH0.N
equestrian,IH0.K.W.EH1.S.T.R.IY0.AH0.N
adenoid,AE1.D.AH0.N.OY2.D.Z
acquaintance,AH0.K.W.EY1.N.T.AH0.N.S
armadillo,AA2.R.M.AH0.D.IH1.L.OW0
archeology,AA2.R.K.IY0.AA1.L.AH0.JH.IY0
avoid,AH0.V.OY1.D
agoing,AH0.G.OW1.IH0.NG
archer,AA1.R.CH.ER0
allegory,AE1.L.AH0.G.AO2.R.IY0
ape,EY1.P
adorable,AH0.D.AO1.R.AH0.B.AH0.L
apathetic,AE2.P.AH0.TH.EH1.T.IH0.K
acronym,AE1.K.R.AH0.N.IH0.M
asterisk,AE1.S.T.ER0.IH0.S.K
agreement,AH0.G.R.IY1.M.AH0.N.T
aloft,AH0.L.AO1.F.T
asinine,AE1.S.AH0.N.AY2.N
assemble,AH0.S.EH1.M.B.AH0.L
ache,EY1.K
altimeter,AE2.L.T.IH1.M.AH0.T.ER0
afluke,AH0.F.L.UW1.K
about,AH0.B.AW1.T
actual,AE1.K.SH.AH0.L
adverb,AE1.D.V.ER0.B
anything,EH1.N.IY0.TH.IH2.NG
audition,AA2.D.IH1.SH.AH0.N
freedom,F.R.IY1.D.AH0.M
plum,P.L.AH1.M
army,AA1.R.M.IY0
acclimate,AE1.K.L.AH0.M.EY2.T
andes,AE1.N.D.IY0.Z
beans,B.IY1.N.Z
airline,EH1.R.L.AY2.N
act,AE1.K.T
azure,AE1.ZH.ER0
auditorium,AO2.D.AH0.T.AO1.R.IY0.AH0.M
anterior,AE2.N.T.IH1.R.IY0.ER0
alimentary,AE2.L.AH0.M.EH1.N.T.ER0.IY0
astronomical,AE2.S.T.R.AH0.N.AA1.M.IH0.K.AH0.L
aha,AA2.HH.AA1
final,F.AY1.N.AH0.L
auntie,AO1.N.T.IY0
antidote,AE1.N.IH0.D.OW2.T
actuate,AE1.K.CH.UW0.W.EY2.T
articulate,AA2.R.T.IH1.K.Y.AH0.L.EY2.T
annotate,AE1.N.AH0.T.EY2.T
appropriate,AH0.P.R.OW1.P.R.IY0.EY2.T
alchemy,AE1.L.K.AH0.M.IY0
Arkansas,AA1.R.K.AH0.N.S.AO2
apologize,AH0.P.AA1.L.AH0.JH.AY2.Z
afoot,AH0.F.UH1.T
awe,AO1
amiable,EY1.M.IY0.AH0.B.AH0.L
aptitude,AE1.P.T.AH0.T.UW2.D
america,AH0.M.EH1.R.IH0.K.AH0
acquiesce,AE2.K.W.IY0.EH1.S
area,EH1.R.IY0.AH0
artifacts,AA1.R.T.AH0.F.AE2.K.T.S
altitude,AE1.L.T.AH0.T.UW2.D
available,AH0.V.EY1.L.AH0.B.AH0.L
approximate,AH0.P.R.AA1.K.S.AH0.M.EY2.T
errand,EH1.R.AH0.N.D
accountant,AH0.K.AW1.N.T.AH0.N.T
applique,AE1.P.L.AH0.K.EH0
appeal,AH0.P.IY1.L
anthology,AE2.N.TH.AA1.L.AH0.JH.IY0
forward,F.AO1.R.W.ER0.D
analyze,AE1.N.AH0.L.AY2.Z
anagram,AE1.N.AH0.G.R.AE2.M
asset,AE1.S.EH2.T
alumnus,AH0.L.AH1.M.N.AH0.S
atlantis,AE0.T.L.AE1.N.IH0.S
antecedent,AE2.N.T.EH1.S.AH0.D.AH0.N.T
atop,AH0.T.AA1.P
arborage,AA1.R.B.ER0.AH0.JH
amongst,AH0.M.AH1.NG.S.T
ambulate,AE1.M.B.Y.UW0.L.EH0.T
archaic,AA2.R.K.EY1.IH0.K
announcement,AH0.N.AW1.N.S.M.EH2.N.T
arboretum,AA2.R.B.ER0.IY1.T.AH0.M
atom,AE1.T.AH0.M
attainable,AH0.T.EY1.N.AH0.B.AH0.L
acknown,AE0.K.N.OW1.N
aardvarks,AA1.R.D.V.AA0.R.K.S
eat,IY1.T
otter,AA1.T.ER0
absent,AE1.B.S.AH0.N.T
fay,F.EY1
Archimedes,AA2.R.K.AH0.M.IY1.D.IY0.Z
accost,AH0.K.AO1.S.T
apricot,EY1.P.R.AH0.K.AA2.T
afear,AH0.F.IY1.R
appliance,AH0.P.L.AY1.AH0.N.S
up,AH1.P
alzheimer's,AA1.T.S.Z.HH.AY2.M.ER0.Z
accustomed,AH0.K.AH1.S.T.AH0.M.D
anew,AH0.N.Y.UW1
autonomous,AO2.T.AA1.N.AH0.M.AH0.S
Africa,AE1.F.R.IH0.K.AH0
average,AE1.V.ER0.IH0.JH
affection,AH0.F.EH1.K.SH.AH0.N
appraise,AH0.P.R.EY1.Z
ab,AE1.B
aerial,EH1.R.IY0.AH0.L
aorta,EY2.AO1.R.T.AH0
frederick,F.R.EH1.D.ER0.IH0.K
abstract,AE2.B.S.T.R.AE1.K.T
deer,D.IH1.R
amphitheater,AE1.M.F.AH0.TH.IY2.AH0.T.ER0
an,AE1.N
as,EH1.Z
apoplectic,AE2.P.AH0.P.L.EH1.K.T.IH0.K
at,AE1.T
apropos,AE2.P.R.AH0.P.OW1
ax,AE1.K.S
awhile,AH0.W.AY1.L
archive,AA1.R.K.AY2.V
authority,AH0.TH.AO1.R.AH0.T.IY0
abyss,AH0.B.IH1.S
peach,P.IY1.CH
aromatic,EH2.R.AH0.M.AE1.T.IH0.K
application,AE2.P.L.AH0.K.EY1.SH.AH0.N
other,AH1.DH.ER0
astronaut,AE1.S.T.R.AH0.N.AA2.T
acutate,AE1.K.Y.UW0.T.EH0.T
ambitious,AE2.M.B.IH1.SH.AH0.S
aunts,AO1.N.T.S
aunt,AO1.N.T
assassinate,AH0.S.AE1.S.AH0.N.EY2.T
arithmetic,EH2.R.IH0.TH.M.EH1.T.IH0.K
artistic,AA2.R.T.IH1.S.T.IH0.K
cheetah,CH.IY1.T.AH0
authoritarian,AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N
accidental,AE2.K.S.AH0.D.EH1.N.AH0.L
annex,AE1.N.EH2.K.S
pear,P.EH1.R
astonish,AH0.S.T.AA1.N.IH0.SH
squash,S.K.W.AA1.SH
April,EY1.P.R.AH0.L
flower,F.L.AW1.ER0
afterglow,AE1.F.T.ER0.G.L.OW2
addictive,AH0.D.IH1.K.T.IH0.V
ambidextrous,AE2.M.B.IH0.D.EH1.K.S.T.R.AH0.S
animosity,AE2.N.AH0.M.AA1.S.AH0.T.IY0
astronomy,AH0.S.T.R.AA1.N.AH0.M.IY0
effrontery,IH0.F.R.AH1.N.T.ER0.IY0
artbox,AA1.R.T.B.AA1.K.S
tiger,T.AY1.G.ER0
afford,AH0.F.AO1.R.D
arouse,ER0.AW1.Z
applause,AH0.P.L.AO1.Z
algorithm,AE1.L.G.ER0.IH2.DH.AH0.M
assume,AH0.S.UW1.M
atheist,EY1.TH.IY0.AH0.S.T
age,EY1.JH
apathy,AE1.P.AH0.TH.IY0
appalling,AH0.P.AO1.L.IH0.NG
gorilla,G.ER0.IH1.L.AH0
adam,AE1.D.AH0.M
apparel,AH0.P.EH1.R.AH0.L
fresh,F.R.EH1.SH
anguish,AE1.NG.G.W.IH0.SH
buffalo,B.AH1.F.AH0.L.OW0
Adam's_apple,AE1.D.AH0.M.Z.AE1.P.AH0.L.AE1.P.AH0.L
